year,Winner,Loser
1991,Detroit Pistons (3),Boston Celtics (2)
1991,Los Angeles Lakers (3),Golden State Warriors (7)
1991,Portland Trail Blazers (1),Utah Jazz (5)
1991,Chicago Bulls (1),Detroit Pistons (3)
1991,Los Angeles Lakers (3),Portland Trail Blazers (1)
1991,Chicago Bulls (1),Los Angeles Lakers (3)
1990,Chicago Bulls (3),Milwaukee Bucks (6)
1990,Detroit Pistons (1),Indiana Pacers (8)
1990,New York Knicks (5),Boston Celtics (4)
1990,Philadelphia 76ers (2),Cleveland Cavaliers (7)
1990,Los Angeles Lakers (1),Houston Rockets (8)
1990,Phoenix Suns (5),Utah Jazz (4)
1990,Portland Trail Blazers (3),Dallas Mavericks (6)
1990,San Antonio Spurs (2),Denver Nuggets (7)
1990,Chicago Bulls (3),Philadelphia 76ers (2)
1990,Detroit Pistons (1),New York Knicks (5)
1990,Phoenix Suns (5),Los Angeles Lakers (1)
1990,Portland Trail Blazers (3),San Antonio Spurs (2)
1990,Detroit Pistons (1),Chicago Bulls (3)
1990,Portland Trail Blazers (3),Phoenix Suns (5)
1990,Detroit Pistons (1),Portland Trail Blazers (3)
1989,Chicago Bulls (6),Cleveland Cavaliers (3)
1989,Detroit Pistons (1),Boston Celtics (8)
1989,Milwaukee Bucks (5),Atlanta Hawks (4)
1989,New York Knicks (2),Philadelphia 76ers (7)
1989,Golden State Warriors (7),Utah Jazz (2)
1989,Los Angeles Lakers (1),Portland Trail Blazers (8)
1989,Phoenix Suns (3),Denver Nuggets (6)
